,Job Activity,2000,2005,2010,2015,2019,2020,2021
0,"Mining, logging, construction",0.05283273381294964,0.05703506435863293,0.045454545454545456,0.052353896103896104,0.0601577909270217,0.06259007617871114,0.06205781281584799
1,Manufacturing,0.08026079136690648,0.07301375943186862,0.06785558938668987,0.06635551948051949,0.06627218934911243,0.06794317479925881,0.06771780877299373
2,"Trade, transportation, and utilities",0.24303057553956833,0.22126054150022192,0.20465419747716398,0.1992694805194805,0.18954635108481263,0.18900555898702903,0.19021629270264806
3,Information,0.03439748201438849,0.029516200621393696,0.02435841670291431,0.02353896103896104,0.020710059171597635,0.02038295243977764,0.019809985850010106
4,Financial activities,0.08048561151079137,0.08344429649356414,0.0880817746846455,0.08563311688311688,0.09072978303747535,0.0936792258595841,0.08914493632504548
5,Professional and business services,0.1357913669064748,0.13692853972481137,0.13810352327098738,0.14935064935064934,0.14418145956607495,0.14597488161416514,0.14534061047099253
6,Education and health services,0.12410071942446044,0.13581890812250333,0.15550239234449761,0.1544237012987013,0.15719921104536488,0.1605929586164299,0.16090559935314333
7,Leisure and hospitality,0.09240107913669064,0.09365290723479805,0.09525880817746847,0.09821428571428571,0.10256410256410256,0.08914968087296685,0.09601778855872246
8,Other services,0.03237410071942446,0.036395916555703504,0.03871248368856024,0.037134740259740256,0.036686390532544376,0.03644224830142063,0.03699211643420255
9,Government,0.12432553956834533,0.13293386595650244,0.1420182688125272,0.13372564935064934,0.1319526627218935,0.1342392423306568,0.13179704871639378
