,Job Activity,10,15,19,24,27
0,"Mining, logging, construction",0.0626118067978533,0.07640067911714771,0.0733652312599681,0.051987739297724614,0.029783546978635014
1,Manufacturing,0.07692307692307693,0.059422750424448216,0.07814992025518341,0.1424681713306515,0.20287740932902446
2,"Trade, transportation, and utilities",0.016100178890876567,0.023769100169779286,0.012759170653907496,-0.022434574414674918,-0.05498086581515374
3,Information,0.07871198568872988,0.06451612903225806,0.06220095693779904,0.0706088833581226,0.08168131469746256
4,Financial activities,0.05259391771019678,0.06298811544991512,0.056379585326953745,0.0294640622798321,0.003365489575068256
5,Professional and business services,0.09767441860465116,0.11697792869269949,0.10470494417862838,0.0547189728054021,0.006250194925126282
6,Education and health services,0.17531305903398928,0.17911714770797962,0.17304625199362042,0.1540649240337324,0.13660001615543182
7,Leisure and hospitality,0.19320214669051877,0.19015280135823429,0.20733652312599682,0.2533451728776878,0.29403249475109594
8,Other services,0.07155635062611806,0.04753820033955857,0.05901116427432217,0.11171172439779209,0.16379038324788142
9,Government,0.17531305903398928,0.17911714770797962,0.17304625199362042,0.1540649240337324,0.13660001615543182
