,Job Activity,10,15,19,20,21,24,27
0,"Mining, logging, construction",0.21746629037315773,0.2075187969924812,0.20685383980181668,0.2116657473800331,0.19897140058232876,0.20227285253131477,0.20076394866753813
1,Manufacturing,0.11586704296017561,0.12105263157894737,0.13790255986787778,0.1482349696635411,0.14030313750034015,0.16178869211738753,0.18084085178823747
2,"Trade, transportation, and utilities",0.17105675760426467,0.19293233082706768,0.20217451142306633,0.20104798676227248,0.19878091920868596,0.1939607367260883,0.18199534914712082
3,Information,0.10724365004703669,0.10045112781954887,0.09922928709055877,0.10107556536127965,0.09948570029116438,0.10309743369127612,0.10791483255766336
4,Financial activities,0.033090310442144874,0.03442105263157895,0.03140655105973025,0.027799227799227798,0.03481999510190754,0.030761649675983722,0.029916674463548825
5,Professional and business services,0.06145343367826905,0.06392481203007519,0.058326451968070465,0.05162713734142305,0.06466570518925685,0.057128777969684054,0.05555953828944782
6,Education and health services,0.0383349012229539,0.03443609022556391,0.03282411230388109,0.029578047435190293,0.03251789164331002,0.030835016179815343,0.030908866893840484
7,Leisure and hospitality,0.09375979931012857,0.09984962406015038,0.08808147536471236,0.09597352454495311,0.09483251244931835,0.08838037172836263,0.08230702106281643
8,Other services,0.12339291313891503,0.11097744360902255,0.11037709881640517,0.10341974627688913,0.09948570029116438,0.0954008352399444,0.0888328801876238
9,Government,0.0383349012229539,0.03443609022556391,0.03282411230388109,0.029578047435190293,0.03613703774252361,0.03637363414014298,0.04096003694216274
