,Job Activity,0,10,15,19,20,21,24,27
0,"Mining, logging, construction",0.06107374489550805,0.05014094644035266,0.05670567056705671,0.06114625263561434,0.06566575674855929,0.06405610753945061,0.07434721290313023,0.08455964937836025
1,Manufacturing,0.127792457362479,0.10016193846338392,0.09964525864351141,0.08831704044470001,0.0851278940450915,0.08310929281122151,0.07995017575015623,0.07585552615214068
2,"Trade, transportation, and utilities",0.19553206822003363,0.18089126132069813,0.18764229364112883,0.19072263753114818,0.197300576281468,0.19438924605493862,0.20559362949087956,0.21660712153408324
3,Information,0.047742012971414845,0.05260001199544173,0.051622809339757506,0.06152961472110408,0.06758669497523001,0.08123904149620105,0.08635673769303884,0.10109597216799224
4,Financial activities,0.06113379774201297,0.05523900917651293,0.05077566580187431,0.04859114433582519,0.05075320998887878,0.05119812974868498,0.04970829268594387,0.04971265715324572
5,Professional and business services,0.13241652654335814,0.13236969951418462,0.1422142214221422,0.144767107533065,0.1494793246385603,0.16218585622443016,0.16736600524345432,0.18046055127856653
6,Education and health services,0.110317079029546,0.13884723804954116,0.1330544819187801,0.13561433774199733,0.1375492872308159,0.13062536528345997,0.12596518849842897,0.11721121038849518
7,Leisure and hospitality,0.08755705020417968,0.09338451388472381,0.09805686450998041,0.09957830170596128,0.07612981498331817,0.0777323202805377,0.07067157957225575,0.05769396063747205
8,Other services,0.03471054527984627,0.037905595873568045,0.0371684227246254,0.03771324516005367,0.0359417652411283,0.03465809468147282,0.03366054323058038,0.03137739563209363
9,Government,0.14172471775162143,0.158459785281593,0.14311431143114312,0.13202031819053095,0.13446567586694974,0.12080654587960257,0.10638063493213198,0.0854259556775507
